user_id,movie_id,rating,genres,production_companies,production_countries,release_year,overview
924564,jerry+maguire+1996,4,Comedy Drama Romance,Gracie Films TriStar Pictures,United States of America,1996.0,"Jerry Maguire used to be a typical sports agent: willing to do just about anything he could to get the biggest possible contracts for his clients, plus a nice commission for himself. Then, one day, he suddenly has second thoughts about what he's really doing. When he voices these doubts, he ends up losing his job and all of his clients, save Rod Tidwell, an egomaniacal football player."
695216,mortal+kombat+1995,1,Action Fantasy,New Line Cinema Threshold Entertainment,United States of America,1995.0,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time."
933067,dear+god+1996,3,Comedy,Rysher Entertainment,United States of America,1996.0,"When letters written to God start getting results, and replies, people everywhere are amazed. The Post Office however is annoyed."
404323,police+academy+4+citizens+on+patrol+1987,2,Comedy Crime,Warner Bros.,United States of America,1987.0,"A new batch of recruits arrives at Police Academy, this time a group of civilian volunteers who have joined Commandant Lassard's new Citizens on Patrol program. Although the community relations project has strong governmental support, a disgusted Captain Harris is determined to see it fail."
654023,big+mommas+house+2000,2,Crime Comedy,Twentieth Century Fox Film Corporation Regency Enterprises,Germany United States of America,2000.0,"When a street-smart FBI agent is sent to Georgia to protect a beautiful single mother and her son from an escaped convict, he is forced to impersonate a crass Southern granny known as Big Momma in order to remain incognito."
949722,the+matrix+1999,5,Action Science Fiction,Village Roadshow Pictures Groucho II Film Partnership Silver Pictures Warner Bros.,Australia United States of America,1999.0,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth."
349772,300+2006,5,Action Adventure War,Virtual Studios Legendary Pictures Hollywood Gang Productions Atmosphere Entertainment MM Warner Bros. Nimar Studios Cruel and Unusual Films,United States of America,2006.0,"Based on Frank Miller's graphic novel, ""300"" is very loosely based the 480 B.C. Battle of Thermopylae, where the King of Sparta led his army against the advancing Persians; the battle is said to have inspired all of Greece to band together against the Persians, and helped usher in the world's first democracy."
128021,judge+dredd+1995,4,Science Fiction,Hollywood Pictures Cinergi Pictures Entertainment,United States of America,1995.0,"In a dystopian future, Dredd, the most famous judge (a cop with instant field judiciary powers) is convicted for a crime he did not commit while his murderous counterpart escapes."
192905,indiana+jones+and+the+last+crusade+1989,4,Adventure Action,Lucasfilm Paramount Pictures,United States of America,1989.0,"When Dr. Henry Jones Sr. suddenly goes missing while pursuing the Holy Grail, eminent archaeologist Indiana must team up with Marcus Brody, Sallah and Elsa Schneider to follow in his father's footsteps and stop the Nazis from recovering the power of eternal life."
722753,the+firm+1993,4,Drama Mystery Thriller,Paramount Pictures Mirage Enterprises Davis Entertainment,United States of America,1993.0,"Mitch McDeere is a young man with a promising future in Law. About to sit his Bar exam, he is approached by 'The Firm' and made an offer he doesn't refuse. Seduced by the money and gifts showered on him, he is totally oblivious to the more sinister side of his company. Then, two Associates are murdered. The FBI contact him, asking him for information and suddenly his life is ruined. He has a choice - work with the FBI, or stay with the Firm. Either way he will lose his life as he knows it. Mitch figures the only way out is to follow his own plan..."
596262,the+boat+that+rocked+2009,4,Drama Comedy,Universal Pictures Studio Canal Working Title Films Medienproduktion Prometheus Filmgesellschaft Portobello Studios Tightrope Pictures,Germany United Kingdom France,2009.0,"The Boat that Rocked is an ensemble comedy, where the romance is between the young people of the 60s, and pop music. It's about a band of DJs that captivate Britain, playing the music that defines a generation and standing up to a government that  wanted control of popular culture via the British Broadcasting Corporation. Loosely based on the events in Britain in the 60's when the Labour government of Harold Wilson, wanted to bring the pirate stations under control, enough to see the passage of the Marine Broadcasting Offences Act on 15 August 1967"
273868,tom+jones+1963,5,Adventure Comedy History Romance,Woodfall Film Productions,United Kingdom,1963.0,Tom loves Sophie and Sophie loves Tom. But Tom and Sophie are of differering classes. Can they find a way through the mayhem to be true to love?
849394,reservoir+dogs+1992,5,Crime Thriller,Live Entertainment Lionsgate Dog Eat Dog Productions Inc.,United States of America,1992.0,"A botched robbery indicates a police informant, and the pressure mounts in the aftermath at a warehouse. Crime begets violence as the survivors -- veteran Mr. White, newcomer Mr. Orange, psychopathic parolee Mr. Blonde, bickering weasel Mr. Pink and Nice Guy Eddie -- unravel."
823776,airheads+1994,5,Comedy Crime Music,Twentieth Century Fox Film Corporation Island World Robert Simonds Productions,United States of America,1994.0,The Lone Rangers have heavy-metal dreams and a single demo tape they can't get anyone to play. The solution: Hijack an AM rock station and hold the deejays hostage until they agree to broadcast the band's tape.
631269,the+rainmaker+1997,5,Drama Crime Thriller,Paramount Pictures Constellation Entertainment,United States of America,1997.0,"When Rudy Baylor (Matt Damon), a young attorney with no clients, goes to work for a seedy ambulance chaser, he wants to help the parents of a terminally ill boy in their suit against an insurance company (represented by a ruthless Jon Voight). But to take on corporate America, Rudy and a scrappy paralegal (Danny DeVito) must open their own law firm."
844450,edward+scissorhands+1990,2,Fantasy Drama Romance,Twentieth Century Fox Film Corporation,United States of America,1990.0,A small suburban town receives a visit from a castaway unfinished science experiment named Edward.
218351,arlington+road+1999,3,Drama Thriller Mystery,Lakeshore Entertainment Screen Gems Arlington Road Productions Corporation Gorai / Samuelson Productions Samuelson Productions,United States of America,1999.0,Threats from sinister foreign nationals aren't the only thing to fear. Bedraggled college professor Michael Faraday has been vexed (and increasingly paranoid) since his wife's accidental death in a botched FBI operation. But all that takes a backseat when a seemingly all-American couple set up house next door.
61331,the+man+from+earth+2007,5,Science Fiction Drama,Falling Sky Entertainment,United States of America,2007.0,"An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he never ages and has walked the earth for 14,000 years."
357705,herbie+goes+bananas+1980,2,Fantasy Comedy Family Adventure,Walt Disney Productions,United States of America,1980.0,The adorable little VW helps its owners break up a counterfeiting ring in Mexico.
260197,cruel+intentions+1999,4,Drama Romance Thriller,Columbia Pictures Cruel Productions Newmarket Capital Group,United States of America,1999.0,"Slaking a thirst for dangerous games, Kathryn challenges her stepbrother, Sebastian, to deflower their headmaster's daughter before the summer ends. If he succeeds, the prize is the chance to bed Kathryn. But if he loses, Kathryn will claim his most prized possession."
674887,the+cook_+the+thief_+his+wife++her+lover+1989,5,Crime Drama,Elsevira Erbograph Co. Vendex,United Kingdom France,1989.0,"The wife of a barbaric crime boss engages in a secretive romance with a gentle bookseller between meals at her husband's restaurant. Food, colour coding, sex, murder, torture and cannibalism are the exotic fare in this beautifully filmed but brutally uncompromising modern fable which has been interpreted as an allegory for Thatcherism."
841711,the+piano+1993,5,Drama Romance,New South Wales Film & Television Office The Australian Film Commission CiBy 2000 Jan Chapman Productions,New Zealand Australia France,1993.0,"After a long voyage from Scotland, pianist Ada McGrath and her young daughter, Flora, are left with all their belongings, including a piano, on a New Zealand beach. Ada, who has been mute since childhood, has been sold into marriage to a local man named Alisdair Stewart. Making little attempt to warm up to Alisdair, Ada soon becomes intrigued by his Maori-friendly acquaintance, George Baines, leading to tense, life-altering conflicts."
743055,true+grit+2010,4,Drama Adventure Western,Paramount Pictures Scott Rudin Productions Mike Zoss Productions Skydance Productions,United States of America,2010.0,"Following the murder of her father by hired hand Tom Chaney, 14-year-old farm girl Mattie Ross sets out to capture the killer. To aid her, she hires the toughest U.S. Marshal she can find, a man with ""true grit,"" Reuben J. ""Rooster"" Cogburn. Mattie insists on accompanying Cogburn, whose drinking, sloth, and generally reprobate character do not augment her faith in him. Against his wishes, she joins him in his trek into the Indian Nations in search of Chaney. They are joined by Texas Ranger LaBoeuf, who wants Chaney for his own purposes. The unlikely trio find danger and adventure on the journey, and each has his or her ""grit"" tested."
929033,congo+1995,3,Action Adventure Drama Mystery Science Fiction Thriller,"Paramount Pictures Kennedy/Marshall Company, The",United States of America,1995.0,"Eight people embark on an expedition into the Congo, a mysterious expanse of unexplored Africa where human greed and the laws of nature have gone berserk. When the thrill-seekers -- some with ulterior motives -- stumble across a race of killer apes."
495970,a+clockwork+orange+1971,5,Science Fiction Drama,Hawk Films Warner Bros.,United Kingdom United States of America,1971.0,"Demonic gang-leader Alex goes on the spree of rape, mugging and murder with his pack of ""droogs"". But he's a boy who also likes Beethoven's Ninth and a bit of ""the old in-out, in-out"". He later finds himself at the mercy of the state and its brainwashing experiment designed to take violence off the streets."
359575,being+john+malkovich+1999,5,Fantasy Drama Comedy,Gramercy Pictures Propaganda Films Single Cell Pictures,United States of America,1999.0,"Spike Jonze’s debut feature film is a love story mix of comedy and fantasy. The story is about an unsuccessful puppeteer named Craig, who one day at work finds a portal into the head of actor John Malkovich. The portal soon becomes a passion for anybody who enters it’s mad and controlling world of overtaking another human body."
415061,the+empire+strikes+back+1980,5,Adventure Action Science Fiction,Lucasfilm Twentieth Century Fox Film Corporation,United States of America,1980.0,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair."
787911,the+client+1994,4,Drama Thriller Crime Mystery,Regency Enterprises Alcor Films Warner Bros.,United States of America,1994.0,"A street-wise kid, Mark Sway, sees the suicide of Jerome Clifford, a prominent Louisiana lawyer, whose current client is Barry 'The Blade' Muldano, a Mafia hit-man. Before Jerome shoots himself, he tells Mark where the body of a Senator is buried. Clifford shoots himself and Mark is found at the scene, and both the FBI and the Mafia quickly realize that Mark probably knows more than he says."
697246,the+silence+of+the+lambs+1991,5,Crime Drama Thriller,Orion Pictures Strong Heart/Demme Production,United States of America,1991.0,"FBI trainee, Clarice Starling ventures into a maximum-security asylum to pick the diseased brain of Hannibal Lecter, a psychiatrist turned homicidal cannibal. Starling needs clues to help her capture a serial killer. but her Faustian relationship with Lecter soon leads to his escape, and now two deranged killers are on the loose."
609463,the+silence+of+the+lambs+1991,4,Crime Drama Thriller,Orion Pictures Strong Heart/Demme Production,United States of America,1991.0,"FBI trainee, Clarice Starling ventures into a maximum-security asylum to pick the diseased brain of Hannibal Lecter, a psychiatrist turned homicidal cannibal. Starling needs clues to help her capture a serial killer. but her Faustian relationship with Lecter soon leads to his escape, and now two deranged killers are on the loose."
914934,what+planet+are+you+from+2000,2,Comedy Drama Romance Science Fiction,Columbia Pictures,United States of America,2000.0,"A highly-evolved planet, whose denizens feel no emotion and reproduce by cloning, plans to take over Earth from the inside by sending an operative, fashioned with a humming, mechanical penis, to impregnate an earthling and stay until the birth. The alien, Harold Anderson, goes to Phoenix as a banker and sets to work finding a mate. His approaches to women are inept, and the humming phallus doesn't help, but on the advice of a banking colleague, he cruises an AA meeting, meets Susan, and somehow convinces her to marry. The clock starts to tick: will she conceive, have a baby, and lose Harold (and the child) to his planet before he discovers emotion and starts to care?"
736234,live+nude+girls+1995,1,Comedy,Spelling Entertainment IRS Media Republic Pictures (II),United States of America,1995.0,"A group of old friends at a Hens Night discuss their issues, uncertainties, fears and fantasies."
299498,casino+royale+2006,5,Adventure Action Thriller,Eon Productions Stillking Films Babelsberg Film,Italy United Kingdom United States of America Czech Republic Germany,2006.0,"Le Chiffre, a banker to the world's terrorists, is scheduled to participate in a high-stakes poker game in Montenegro, where he intends to use his winnings to establish his financial grip on the terrorist market. M sends Bond – on his maiden mission as a 00 Agent – to attend this game and prevent Le Chiffre from winning. With the help of Vesper Lynd and Felix Leiter, Bond enters the most important poker game in his already dangerous career."
690999,schindlers+list+1993,5,Drama History War,Universal Pictures Amblin Entertainment,United States of America,1993.0,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.
175860,babe+1995,4,Fantasy Drama Comedy Family,Universal Pictures Kennedy Miller Productions,Australia United States of America,1995.0,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be."
964388,run+silent_+run+deep+1958,3,Drama War,Hill-Hecht-Lancaster Productions Jeffrey Pictures Corp.,United States of America,1958.0,The captain of a submarine sunk by the Japanese during WWII is finally given a chance to skipper another sub after a year of working a desk job. His singleminded determination for revenge against the destroyer that sunk his previous vessel puts his new crew in unneccessary danger.
713515,scream+3+2000,1,Horror Mystery,Konrad Pictures Craven-Maddalena Films Dimension Films,United States of America,2000.0,"A murdering spree begins to happen again, this time its targeted toward the original Woodsboro survivors and those associated with the movie inside a movie, 'Stab 3'. Sydney must face the demons of her past to stop the killer."
937606,sin+city+2005,3,Action Thriller Crime,Dimension Films Troublemaker Studios Miramax,United States of America,2005.0,"Welcome to Sin City. This town beckons to the tough, the corrupt, the brokenhearted. Some call it dark… Hard-boiled. Then there are those who call it home — Crooked cops, sexy dames, desperate vigilantes. Some are seeking revenge, others lust after redemption, and then there are those hoping for a little of both. A universe of unlikely and reluctant heroes still trying to do the right thing in a city that refuses to care."
883353,small+soldiers+1998,2,Comedy Adventure Fantasy Science Fiction Action,Universal Pictures Amblin Entertainment DreamWorks Pictures,United States of America,1998.0,"When missile technology is used to enhance toy action figures, the toys soon begin to take their battle programming too seriously."
517304,felon+2008,5,Action Crime Drama,Pantry Films Stage 6 Films Tooley Productions,United States of America,2008.0,A family man convicted of killing an intruder must cope with life afterward in the violent penal system.
9256,waterworld+1995,4,Adventure Action,Universal Pictures Gordon Company Davis Entertainment Licht/Mueller Film Corporation,United States of America,1995.0,"In a futuristic world where the polar ice caps have melted and made Earth a liquid planet, a beautiful barmaid rescues a mutant seafarer from a floating island prison. They escape, along with her young charge, Enola, and sail off aboard his ship. But the trio soon becomes the target of a menacing pirate who covets the map to 'Dryland' – which is tattooed on Enola's back."
213286,demolition+man+1993,4,Crime Action Science Fiction,Silver Pictures Warner Bros.,United States of America,1993.0,"Simon Phoenix, a violent criminal cryogenically frozen in 1996, has escaped during a parole hearing in 2032 in the utopia of San Angeles. Police are incapable of dealing with his violent ways and turn to his captor, John Spartan, who had also been cryogenically frozen when wrongfully accused of killing 30 innocent people while apprehending Phoenix."
738318,cruel+intentions+1999,3,Drama Romance Thriller,Columbia Pictures Cruel Productions Newmarket Capital Group,United States of America,1999.0,"Slaking a thirst for dangerous games, Kathryn challenges her stepbrother, Sebastian, to deflower their headmaster's daughter before the summer ends. If he succeeds, the prize is the chance to bed Kathryn. But if he loses, Kathryn will claim his most prized possession."
379366,enemy+of+the+state+1998,2,Action Drama Thriller,Jerry Bruckheimer Films Scott Free Productions Touchstone Pictures No Such Productions,United States of America,1998.0,"Hotshot Washington lawyer, Robert Dean becomes a victim of high-tech identity theft when a hacker slips an incriminating video into his pocket. Soon, a rogue National Security agent sets out to recover the tape – and destroy Dean."
283547,ed+wood+1994,3,Comedy Drama History,Touchstone Pictures,United States of America,1994.0,"The mostly true story of the legendary ""worst director of all time"", who, with the help of his strange friends, filmed countless B-movies without ever becoming famous or successful."
152904,the+island+of+dr.+moreau+1996,1,Fantasy Horror Science Fiction,New Line Cinema,United States of America,1996.0,A shipwrecked sailor stumbles upon a mysterious island and is shocked to discover that a brilliant scientist and his lab assistant have found a way to combine human and animal DNA with horrific results.
986223,julie++julia+2009,3,Romance Drama,Columbia Pictures Scott Rudin Productions Easy There Tiger Productions,United States of America,2009.0,"Julia Child and Julie Powell – both of whom wrote memoirs – find their lives intertwined. Though separated by time and space, both women are at loose ends... until they discover that with the right combination of passion, fearlessness and butter, anything is possible."
667751,the+pelican+brief+1993,4,Drama Mystery Thriller Crime,Warner Bros.,United States of America,1993.0,Two Supreme Court Justices have been assassinated. One lone law student has stumbled upon the truth. An investigative journalist wants her story. Everybody else wants her dead.
364942,cocoon+1985,3,Comedy Drama Science Fiction,Twentieth Century Fox Film Corporation SLM Production Group Zanuck/Brown Productions,United States of America,1985.0,"A group of aliens return to earth to take back some cocoons of their people they left behind from an earlier trip. They kept the recovered cocoons in the swimming pool of a house they rented in a small Florida town. Their mission is hampered by a number of old people from an elderly home nearby, who have been secretly using the pool and discovering the unusual power of these cocoons."
51349,the+manchurian+candidate+1962,5,Mystery Thriller,United Artists MC Productions,United States of America,1962.0,The Manchurian Candidate is a political thriller from American director John Frankenheimer. An American soldier is brainwashed into being a killer for the communist Russians during the Korean War.
315347,the+lion+king+1994,1,Family Animation Drama,Walt Disney Pictures Walt Disney Feature Animation,United States of America,1994.0,A young lion cub named Simba can't wait to be king. But his uncle craves the title for himself and will stop at nothing to get it.
153865,the+outlaw+josey+wales+1976,3,Drama Western,Warner Bros. Malpaso Company,United States of America,1976.0,"After avenging his family's brutal murder, Wales is pursued by a pack of soldiers. He prefers to travel alone, but ragtag outcasts are drawn to him - and Wales can't bring himself to leave them unprotected."
36078,alien+1992,3,Science Fiction Action Horror,Twentieth Century Fox Film Corporation Brandywine Productions,United Kingdom United States of America,1992.0,"After escaping with Newt and Hicks from the alien planet, Ripley crash lands on Fiorina 161, a prison planet and host to a correctional facility. Unfortunately, although Newt and Hicks do not survive the crash, a more unwelcome visitor does. The prison does not allow weapons of any kind, and with aid being a long time away, the prisoners must simply survive in any way they can."
405357,hook+1991,3,Adventure Fantasy Comedy Family,Amblin Entertainment TriStar Pictures,United States of America,1991.0,"The boy who wasn't supposed to grow up—Peter Pan—did just that, becoming a soulless corporate lawyer whose workaholism could cost him his wife and kids. But a trip to see Granny Wendy in London, where the vengeful Capt. Hook kidnaps Peter's kids and forces Peter to return to Neverland, could lead to a chance at redemption, in this family-oriented fantasy from director Steven Spielberg."
328464,monty+python+live+at+the+hollywood+bowl+1982,4,Comedy,Columbia Pictures Corporation HandMade Films,United Kingdom,1982.0,"Monty Python Live at the Hollywood Bowl is a 1982 concert film in which the Monty Python team perform many of their greatest sketches at the Hollywood Bowl, including several pre-Python ones."
613137,reservoir+dogs+1992,4,Crime Thriller,Live Entertainment Lionsgate Dog Eat Dog Productions Inc.,United States of America,1992.0,"A botched robbery indicates a police informant, and the pressure mounts in the aftermath at a warehouse. Crime begets violence as the survivors -- veteran Mr. White, newcomer Mr. Orange, psychopathic parolee Mr. Blonde, bickering weasel Mr. Pink and Nice Guy Eddie -- unravel."
812825,the+insider+1999,4,Drama Thriller,Spyglass Entertainment Forward Pass Kaitz Productions Mann/Roth Productions Touchstone Pictures,United States of America,1999.0,"Tells the true story of a 60 Minutes television series exposé of the tobacco industry, as seen through the eyes of a real tobacco executive, Jeffrey Wigand"
582941,zombieland+2009,4,Comedy Horror,Columbia Pictures Relativity Media Pariah,United States of America,2009.0,"Columbus has made a habit of running from what scares him. Tallahassee doesn't have fears. If he did, he'd kick their ever-living ass. In a world overrun by zombies, these two are perfectly evolved survivors. But now, they're about to stare down the most terrifying prospect of all: each other."
401863,austin+powers+the+spy+who+shagged+me+1999,3,Adventure Comedy Crime Science Fiction,New Line Cinema Eric's Boy,United States of America,1999.0,"When diabolical genius, Dr. Evil travels back in time to steal superspy Austin Powers's ‘mojo’, Austin must return to the swingin' '60s himself – with the help of American agent, Felicity Shagwell – to stop the dastardly plan. Once there, Austin faces off against Dr. Evil's army of minions and saves the world in his own unbelievably groovy way."
89540,terms+of+endearment+1983,3,Drama Comedy,Paramount Pictures,United States of America,1983.0,"Aurora and Emma are mother and daughter who march to different drummers. Beginning with Emma's marriage, Aurora shows how difficult and loving she can be. The movie covers several years of their lives as each finds different reasons to go on living and find joy. Aurora's interludes with Garrett Breedlove, retired astronaut and next door neighbor are quite striking."
